map,step_limit,algorithm,p1_evaluator,p2_evaluator,role_assignment,p1_score,p2_score,winner,new_score,old_score,score_diff_new_minus_old,boxes_on_goals,new_useful_pushes,old_useful_pushes,new_ineffective_actions,old_ineffective_actions,new_avg_latency_ms,new_med_latency_ms,new_max_latency_ms,old_avg_latency_ms,old_med_latency_ms,old_max_latency_ms,new_deadline_fallbacks,old_deadline_fallbacks
competitive_02.txt,50,gbfs,new,old,new_as_p1,2,0,new,2,0,2,2,5,5,2,0,12.386,9.705,58.3,7.547,7.364,16.806,0,0
competitive_02.txt,50,gbfs,old,new,new_as_p2,0,2,new,2,0,2,2,5,5,2,0,10.66,10.449,31.788,6.813,7.207,13.836,0,0
competitive_03.txt,10,gbfs,new,old,new_as_p1,1,1,tie,1,1,0,2,2,1,0,0,0.583,0.489,1.552,10.761,10.506,16.737,0,0
competitive_03.txt,10,gbfs,old,new,new_as_p2,1,1,tie,1,1,0,2,1,2,0,0,1.026,0.937,2.326,8.09,7.863,10.091,0,0
competitive_03.txt,25,gbfs,new,old,new_as_p1,3,0,new,3,0,3,3,5,1,0,0,14.492,1.573,41.271,6.481,6.636,10.004,0,0
competitive_03.txt,25,gbfs,old,new,new_as_p2,2,1,old,1,2,-1,3,2,5,1,0,16.719,1.851,42.52,8.918,6.873,52.681,0,0
competitive_03.txt,50,gbfs,new,old,new_as_p1,3,0,new,3,0,3,3,5,1,0,0,6.821,7.401,22.888,6.172,5.424,11.008,0,0
competitive_03.txt,50,gbfs,old,new,new_as_p2,1,2,new,2,1,1,3,4,8,4,0,7.613,7.757,29.6,5.969,5.897,12.259,0,0
competitive_04.txt,10,gbfs,new,old,new_as_p1,1,1,tie,1,1,0,2,1,2,0,0,3.447,2.129,11.038,8.147,8.304,13.096,0,0
competitive_04.txt,10,gbfs,old,new,new_as_p2,1,1,tie,1,1,0,2,3,1,0,0,0.947,0.848,1.848,8.468,8.786,13.142,0,0
competitive_04.txt,25,gbfs,new,old,new_as_p1,2,0,new,2,0,2,2,4,2,0,0,15.291,1.367,51.598,5.899,5.642,9.368,0,0
competitive_04.txt,25,gbfs,old,new,new_as_p2,1,2,new,2,1,1,3,5,2,0,0,11.136,1.753,36.96,4.804,3.048,11.193,0,0
competitive_04.txt,50,gbfs,new,old,new_as_p1,3,0,new,3,0,3,3,5,2,0,0,4.041,1.598,41.212,6.354,5.868,13.381,0,0
competitive_04.txt,50,gbfs,old,new,new_as_p2,1,2,new,2,1,1,3,5,2,0,0,8.103,5.068,66.72,3.287,2.76,7.21,0,0
